,Name,Accuracy,Precision,Recall,F1
0,HistGradientBoostingClassifier,0.6737047020065888,0.6736621196222455,0.60718789407314,0.6387000497429945
1,AdaBoostClassifier,0.6570829589697514,0.6448751642575559,0.6188524590163934,0.6315958815958816
4,lightgbm,0.6722072476789458,0.6743526073075559,0.5993064312736444,0.6346185945585043
5,XGBClassifier,0.6689128481581311,0.6699681641315882,0.5970996216897856,0.631438573095516
2,RandomForestClassifier,0.6660676849356094,0.6664310954063605,0.594577553593947,0.6284571809396867
3,KNeighborsClassifier,0.6337226714585206,0.640916149068323,0.5204918032786885,0.5744606819763395
